Timestamp,Roll,Pitch,Yaw
1741309236.8027847,-0.049076144,0.01367122,5.8904805
1741309236.8187304,-0.104799666,0.03914606,13.139593
1741309236.8346174,-0.15249404,0.06351248,19.82905
1741309236.8503451,-0.19238561,0.023650922,25.529612
1741309236.8659973,-0.2434647,-0.015899386,30.221348
1741309236.8816185,-0.2695297,-0.052939165,34.565666
1741309236.8972368,-0.25336802,-0.020109007,37.988895
1741309236.9129188,-0.25823775,-0.043581154,41.158146
1741309236.9285789,-0.26151755,-0.062336106,44.03817
1741309236.9442058,-0.24911016,-0.07821152,46.128094
1741309236.9597728,-0.21471292,-0.067526504,47.904022
1741309236.9754374,-0.26016352,-0.07834858,49.686977
1741309236.9911082,-0.23858657,-0.103617296,51.20587
1741309237.00673,-0.22475725,-0.15023592,52.36525
1741309237.0225158,-0.23997545,-0.17875513,53.364655
1741309237.0381453,-0.25104424,-0.19858113,54.031807
1741309237.0538747,-0.25650612,-0.20536059,54.88994
1741309237.0694616,-0.23849651,-0.23310754,55.58333
1741309237.0850391,-0.25743157,-0.25418895,56.100662
1741309237.1008537,-0.28799546,-0.28105503,56.504887
1741309237.116465,-0.31699452,-0.27485505,56.77702
1741309237.132087,-0.3476201,-0.2710439,57.012554
1741309237.1476548,-0.3173591,-0.24531984,57.53857
1741309237.163292,-0.31169346,-0.24098136,57.993214
1741309237.1789355,-0.30152097,-0.2715333,58.063225
1741309237.194626,-0.27407497,-0.26287332,58.089737
1741309237.2103438,-0.25599834,-0.26582855,58.201042
1741309237.2276711,-0.25532717,-0.2619311,58.54201
1741309237.2456648,-0.25487933,-0.26813343,58.7842
1741309237.2614114,-0.26447293,-0.25310922,58.685646
1741309237.2769818,-0.24148239,-0.24934626,58.880024
1741309237.2939253,-0.25511003,-0.18980256,58.936954
1741309237.3095822,-0.22688572,-0.21405356,59.073887
1741309237.3252354,-0.24132973,-0.19600205,59.128494
1741309237.340927,-0.24549665,-0.16708289,59.23313
1741309237.3565059,-0.23570648,-0.19642851,59.10432
1741309237.372067,-0.229001,-0.2197743,59.171852
1741309237.3876402,-0.21926782,-0.19021331,59.09345
1741309237.4032297,-0.23412281,-0.19225255,59.276546
1741309237.4187818,-0.19719522,-0.19232814,59.2443
1741309237.4344268,-0.1948064,-0.1830651,59.38774
1741309237.4500034,-0.19867174,-0.1819427,59.418224
1741309237.4655218,-0.19925562,-0.1741871,59.53377
1741309237.4811053,-0.1869417,-0.20223904,59.54085
1741309237.49663,-0.18590079,-0.1935719,59.50457
1741309237.5121539,-0.2028667,-0.17258188,59.2382
1741309237.5277145,-0.20903009,-0.18770869,59.337414
1741309237.5432796,-0.21441719,-0.21839279,59.547356
1741309237.5588307,-0.22226624,-0.24795984,59.587162
1741309237.5745149,-0.23923334,-0.22854047,59.25716
1741309237.5900807,-0.23427105,-0.23648328,58.968235
