PWM (%),RPM
30.8,0.0
30.85,0.0
30.9,0.05859375
30.95,0.0
31.0,0.0
31.05,0.0
31.1,0.0
31.15,0.0
31.2,0.0
31.25,0.234375
31.3,0.05859375
31.35,0.0
31.4,0.0
31.45,0.0
31.5,0.0
31.55,70.8984375
31.6,108.80859375
31.65,118.359375
31.7,121.9921875
31.75,114.55078125
31.8,123.10546875
31.85,121.640625
31.9,111.50390625
31.95,113.61328125
