Timestamp,Roll_Angle,Angular_Velocity,PID_Output,Motor_Output,Direction,P_Gain,I_Gain,D_Gain,Sample_Time
17:07:40.780,12.2091,0.5720,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:40.886,-7.8959,-0.0555,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:40.995,-4.7501,-0.9463,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.103,10.3659,0.0335,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.212,-6.7443,0.0174,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.318,20.2325,0.0339,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.426,2.9526,0.1383,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.533,10.8100,0.0327,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.640,-0.2069,0.0153,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.749,10.8074,-0.0089,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.858,14.5179,-0.0975,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:41.966,0.3231,-0.0202,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.074,-2.7109,-0.0079,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.182,-12.1258,-0.0667,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.290,8.0432,-0.0386,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.398,1.3142,-0.0810,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.508,-11.7091,-0.0826,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.616,-10.8762,-0.0119,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.725,-5.5969,-0.0134,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.833,0.2398,0.0351,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:42.942,-4.1715,-0.0267,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.050,-9.8840,-0.0726,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.158,-0.5858,0.0397,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.267,-2.7647,0.0339,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.375,8.6046,-0.0153,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.483,-12.2456,-0.0181,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.589,12.6831,0.0382,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.698,-12.7471,-0.1110,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.806,-2.8327,-0.0169,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:43.912,-15.1878,-0.0188,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.020,-6.7205,-0.0539,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.129,-21.3461,-0.0311,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.237,-16.8739,-0.0230,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.345,-7.4390,0.0006,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.453,-11.9627,-0.0260,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.562,-2.3919,-0.0002,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.670,-3.2996,-0.0721,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.780,-6.5288,-0.0078,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.887,21.1025,-0.0812,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:44.995,-5.1855,0.0598,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
17:07:45.104,6.0103,-0.0426,-80.9597,92.3839,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:45.213,2.8458,0.1183,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
17:07:45.322,2.7736,-0.1127,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
