Timestamp,Roll_Angle,Angular_Velocity,PID_Output,Motor_Output,Direction,P_Gain,I_Gain,D_Gain,Sample_Time
16:48:32.266,-49.6661,-0.0090,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
16:48:32.376,-39.4622,-0.0093,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
16:48:32.484,-47.5652,0.2206,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
16:48:32.591,-35.8439,1.1046,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
16:48:32.700,-27.5287,1.5423,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
16:48:32.808,-26.8624,0.9170,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
16:48:32.916,-13.5090,0.6113,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
16:48:33.023,-13.3317,0.3881,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
16:48:33.130,-2.1075,0.7228,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
16:48:33.238,-13.8006,0.8383,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
16:48:33.347,-3.6353,-0.0369,100.0000,100.0000,clockwise,5.0000,2.0000,4.5000,0.0100
16:48:33.456,2.5615,-0.0618,-100.0000,100.0000,counterclockwise,5.0000,2.0000,4.5000,0.0100
